år, temperatur
1850,-0.439
1851,-0.306
1852,-0.309
1853,-0.342
1854,-0.299
1855,-0.341
1856,-0.409
1857,-0.482
1858,-0.49
1859,-0.36
1860,-0.392
1861,-0.409
1862,-0.521
1863,-0.315
1864,-0.503
1865,-0.308
1866,-0.314
1867,-0.338
1868,-0.297
1869,-0.307
1870,-0.303
1871,-0.349
1872,-0.275
1873,-0.336
1874,-0.376
1875,-0.409
1876,-0.375
1877,-0.129
1878,-0.018
1879,-0.26
1880,-0.21
1881,-0.17
1882,-0.182
1883,-0.243
1884,-0.33
1885,-0.346
1886,-0.304
1887,-0.372
1888,-0.26
1889,-0.166
1890,-0.386
1891,-0.306
1892,-0.374
1893,-0.411
1894,-0.372
1895,-0.323
1896,-0.174
1897,-0.184
1898,-0.334
1899,-0.25
1900,-0.166
1901,-0.233
1902,-0.349
1903,-0.432
1904,-0.504
1905,-0.342
1906,-0.284
1907,-0.449
1908,-0.492
1909,-0.52
1910,-0.487
1911,-0.506
1912,-0.428
1913,-0.412
1914,-0.234
1915,-0.193
1916,-0.396
1917,-0.477
1918,-0.338
1919,-0.302
1920,-0.298
1921,-0.229
1922,-0.328
1923,-0.302
1924,-0.313
1925,-0.247
1926,-0.14
1927,-0.238
1928,-0.228
1929,-0.359
1930,-0.16
1931,-0.114
1932,-0.156
1933,-0.281
1934,-0.14
1935,-0.188
1936,-0.145
1937,-0.036
1938,0.001
1939,-0.012
1940,0.069
1941,0.121
1942,0.025
1943,0.036
1944,0.15
1945,0.033
1946,-0.13
1947,-0.106
1948,-0.152
1949,-0.158
1950,-0.231
1951,-0.119
1952,-0.042
1953,0.018
1954,-0.188
1955,-0.204
1956,-0.263
1957,-0.016
1958,0.02
1959,-0.022
1960,-0.074
1961,0.014
1962,-0.002
1963,0.02
1964,-0.239
1965,-0.16
1966,-0.105
1967,-0.083
1968,-0.12
1969,0.012
1970,-0.022
1971,-0.13
1972,-0.028
1973,0.109
1974,-0.138
1975,-0.086
1976,-0.17
1977,0.093
1978,0.006
1979,0.103
1980,0.166
1981,0.215
1982,0.078
1983,0.24
1984,0.07
1985,0.041
1986,0.107
1987,0.249
1988,0.282
1989,0.19
1990,0.349
1991,0.302
1992,0.145
1993,0.167
1994,0.244
1995,0.36
1996,0.234
1997,0.403
1998,0.568
1999,0.341
2000,0.334
2001,0.473
2002,0.542
2003,0.542
2004,0.487
2005,0.578
2006,0.53
2007,0.529
